Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Catégorie,Prix de la petite boisson,Prix de la moyenne boisson,Prix de la grande boisson,Informations du produit
Jus d'oranges pressées,jus-doranges-pressees,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68347e7d169b79ba8f4d5190,false,false,Mon May 26 2025 14:45:17 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:45:17 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:45:17 GMT+0000 (Coordinated Universal Time),Jus de fruits,4.3,6.1,,2dl / 3dl
Jus de pomme,jus-de-pomme,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e08c3aece25cc717ec5f2,false,false,Fri May 09 2025 13:53:07 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales en bouteille,4.5,,,33cl
Lait Chaud | Froid,lait-chaud-froid,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e05f7834058d30f212d04,false,true,Fri May 09 2025 13:41:11 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:26:28 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Lait,3.5,,,
Lait grenadine,lait-grenadine,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e060bdc99dc162639103e,false,false,Fri May 09 2025 13:41:31 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Lait,3.9,,,
Latte macchiato,latte-macchiato,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e04d7d0ce07e772d137e1,false,false,Fri May 09 2025 13:36:23 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Café,4.4,,,
Limonade,limonade,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e07c431768ad350d13ec8,false,true,Fri May 09 2025 13:48:52 GMT+0000 (Coordinated Universal Time),Tue May 27 2025 13:25:16 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.3,3.8,5.7,Disponible en : 2dl | 3dl | 5dl
Limoncello 25%,limoncello-25,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348cf3dc826feb62a22772,false,false,Mon May 26 2025 15:46:59 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:46:59 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:46:59 GMT+0000 (Coordinated Universal Time),Digestifs,5.3,,,2cl
Marc 40%,marc-40,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68348d0d0d99d0d8af68d223,false,false,Mon May 26 2025 15:47:25 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:47:25 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:47:25 GMT+0000 (Coordinated Universal Time),Digestifs,6.5,,,2cl
Nectars de fruits,nectars-de-fruits,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,68347ec3ac475bf74a92f838,false,false,Mon May 26 2025 14:46:27 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:46:27 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 14:46:27 GMT+0000 (Coordinated Universal Time),Jus de fruits,4.7,,,"20cl. Arômes pêche, abricot, cocktail de fruits, poire, tomate."
Noir / Cynorhodon,noir-cynorhodon,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e0516db01f9a7e0a83928,false,false,Fri May 09 2025 13:37:26 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Thé,3.5,,,
Oeil de perdrix 17%,oeil-de-perdrix-17,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,6834832b0694e036a7547d94,false,false,Mon May 26 2025 15:05:15 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:05:15 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 15:05:15 GMT+0000 (Coordinated Universal Time),Vins,4.9,,24,Rosé. Disponible en 1dl | 5dl.
Orangina,orangina,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e0691e1878ce5bfa0d47d,false,false,Fri May 09 2025 13:43:45 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Minérales,3.3,3.8,5.7,Disponible en : 2dl | 3dl | 5dl
Ovomaltine chaud / froid,ovomaltine-chaud-froid,681dea04e08fb8f80d25a63a,681de9cc48a0824ce3e9e03f,681e059e89a8d5eb0a1573e3,false,false,Fri May 09 2025 13:39:42 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:30 GMT+0000 (Coordinated Universal Time),Mon May 26 2025 13:08:54 GMT+0000 (Coordinated Universal Time),Chocolat,4.5,,,3dl
